***** Distribution. ORDER 1 *****
70,79 -> 69 : 0.22222
79,78 -> 88 : 0.14286
79,78 -> 79 : 0.14286
79,78 -> 77 : 0.42857
79,78 -> 68 : 0.28571
68,78 -> 68 : 0.6
68,78 -> 79 : 0.2
68,78 -> 77 : 0.2
79,70 -> 79 : 0.4
79,70 -> 80 : 0.3
79,70 -> 60 : 0.3
80,70 -> 60 : 0.5
80,70 -> 71 : 0.5
70,60 -> 69 : 0.33333
70,60 -> 50 : 0.11111
70,60 -> 70 : 0.22222
70,60 -> 61 : 0.33333
69,60 -> 61 : 0.16667
69,60 -> 69 : 0.27778
69,60 -> 70 : 0.27778
69,60 -> 50 : 0.27778
61,60 -> 50 : 0.25
61,60 -> 69 : 0.41667
61,60 -> 61 : 0.33333
60,69 -> 60 : 0.42857
60,69 -> 79 : 0.21429
60,69 -> 68 : 0.07143
60,69 -> 59 : 0.28571
59,69 -> 68 : 0.2
59,69 -> 60 : 0.2
59,69 -> 59 : 0.46667
59,69 -> 79 : 0.13333
60,61 -> 71 : 0.61538
60,61 -> 62 : 0.38462
60,50 -> 59 : 0.55556
60,50 -> 40 : 0.22222
60,50 -> 60 : 0.11111
60,50 -> 51 : 0.11111
59,50 -> 40 : 0.35714
59,50 -> 51 : 0.21429
59,50 -> 59 : 0.14286
59,50 -> 60 : 0.28571
78,68 -> 58 : 0.66667
78,68 -> 69 : 0.16667
78,68 -> 67 : 0.16667
42,32 -> 33 : 0.4
42,32 -> 42 : 0.4
42,32 -> 31 : 0.2
33,32 -> 33 : 0.5
33,32 -> 22 : 0.25
33,32 -> 31 : 0.125
33,32 -> 42 : 0.125
32,33 -> 32 : 0.38462
32,33 -> 43 : 0.23077
32,33 -> 34 : 0.23077
32,33 -> 23 : 0.15385
44,34 -> 24 : 0.15385
44,34 -> 33 : 0.46154
44,34 -> 35 : 0.15385
44,34 -> 44 : 0.23077
35,34 -> 24 : 0.27273
35,34 -> 44 : 0.45455
35,34 -> 35 : 0.18182
35,34 -> 33 : 0.09091
24,34 -> 44 : 0.36842
24,34 -> 35 : 0.05263
24,34 -> 33 : 0.21053
24,34 -> 24 : 0.36842
34,24 -> 25 : 0.15385
34,24 -> 34 : 0.53846
34,24 -> 14 : 0.15385
34,24 -> 23 : 0.15385
24,25 -> 35 : 0.33333
24,25 -> 26 : 0.33333
24,25 -> 15 : 0.33333
26,25 -> 26 : 0.33333
26,25 -> 35 : 0.22222
26,25 -> 15 : 0.33333
26,25 -> 24 : 0.11111
25,35 -> 36 : 0.25
25,35 -> 25 : 0.25
25,35 -> 45 : 0.375
25,35 -> 34 : 0.125
45,35 -> 36 : 0.32
45,35 -> 34 : 0.28
45,35 -> 25 : 0.16
45,35 -> 45 : 0.24
56,55 -> 45 : 0.33333
56,55 -> 56 : 0.25
56,55 -> 65 : 0.25
56,55 -> 54 : 0.16667
55,45 -> 35 : 0.4375
55,45 -> 44 : 0.1875
55,45 -> 46 : 0.1875
55,45 -> 55 : 0.1875
